ID,titulacao,tipo_vinculo,dat_admissao,tempo_de_casa,cargo,regime_trabalho_mec,horas_totais,qtd_disciplina,qtd_alunos,horas_disciplina,horas_atv_dedicacao,nota_prof
972,Mestre              ,Aulista,01/09/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.5,6,172,21,0,4.38
973,Mestre              ,Aulista,01/09/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,2,223,20,16.67,4.28
974,Doutor              ,Regime,01/10/1999,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,80,10,28.33,3.46
975,Mestre              ,Aulista,01/09/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,19.33,2,126,8,10,3.32
976,Mestre              ,Regime,01/10/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,102,20,16.67,3.53
977,Mestre              ,Aulista,01/11/2000,18,PROF.  ASSISTENTE IV,Horista,14,3,165,20,0,4.14
978,Mestre              ,Aulista,01/08/2012,6,PROF.  ASSISTENTE I,Regime de Tempo Parcial,33.67,8,182,22,8,4.33
979,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Horista,26.5,6,246,42,2,4.01
980,Mestre              ,Aulista,01/08/2013,5,PROF.  ASSISTENTE I,Regime de Tempo Integral,40,5,154,18,19,4.66
981,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,21,6,131,18,0,3.42
982,Doutor              ,Aulista,03/08/2015,3,PROF. ADJUNTO I,Regime de Tempo Parcial,18.9,7,231,16,0,4.67
983,Mestre              ,Aulista,11/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,3,76,8,0,4.33
984,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,29.78,6,194,26,0,4.54
985,Mestre              ,Aulista,03/08/2015,3,PROF.  ASSISTENTE I,Horista,9.33,1,10,8,0,4.76
986,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,4,206,30,14.33,4.57
987,Doutor              ,Aulista,01/02/2013,6,PROF. ADJUNTO I,Regime de Tempo Integral,40,3,62,8,30.67,3.92
988,Mestre              ,Aulista,01/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,38.5,6,253,44,12.83,4.71
989,Mestre              ,Aulista,04/08/2008,10,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,21.67,5,120,16,3,4.77
990,Doutor              ,Aulista,01/03/2001,18,PROF. ADJUNTO IV,Horista,30.33,9,202,26,0,4.52
991,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,4,160,22,0,3.2
992,Mestre              ,Aulista,02/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,35.83,4,179,14,19.5,3.92
993,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Horista,9.33,2,92,8,0,4.64
994,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Horista,30.33,8,312,104,0,4.11
995,Especialista        ,Aulista,01/02/2002,17,PROF.  ASSISTENTE II,Horista,18.67,4,117,12,0,4.42
996,Doutor              ,Aulista,04/08/2008,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,137,18,19,4.52
997,Doutor              ,Regime,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,2,44,6,23,4.09
998,Doutor              ,Regime,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,1,17,4,25.33,4.51
999,Doutor              ,Regime,01/08/2013,5,PROF. ADJUNTO I,Regime de Tempo Parcial,30,1,80,8,20.67,3.82
1000,Doutor              ,Regime,09/03/2009,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,53,8,30.67,3.04
1001,Doutor              ,Regime,02/06/2000,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,23,2,37.67,3.98
1002,Doutor              ,Regime,01/11/2003,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,35.33,2,48,10,23.67,2.99
1003,Doutor              ,Aulista,01/08/2003,15,PROF. TITULAR,Regime de Tempo Parcial,22.5,5,137,24,3.83,4
1004,Doutor              ,Regime,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,117,14,23.67,4.02
1005,Doutor              ,Regime,12/02/2009,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,89,5,36.5,3.74
1006,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24,4,130,15,6.5,4.5
1007,Doutor              ,Regime,01/07/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,70,8,30.67,4.46
1008,Doutor              ,Regime,01/04/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,84,10,28.34,4.61
1009,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,257,20,16.67,4.15
1010,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,9.33,2,51,8,0,3.61
1011,Mestre              ,Aulista,05/04/2016,3,PROF.  ASSISTENTE I,Horista,9.33,1,66,8,0,4.43
1012,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,32.67,8,207,28,0,4.14
1013,Mestre              ,Aulista,21/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,19.33,5,104,14,3,4.19
1014,Especialista        ,Aulista,01/08/2001,17,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,2,22,32,21.33,4.66
1015,Mestre              ,Aulista,02/04/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,6,256,22,14.33,3.03
1016,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Regime de Tempo Parcial,40,6,234,24,12,4.62
1017,Mestre              ,Aulista,01/11/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,224,16,21.33,4.83
1018,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE II,Regime de Tempo Parcial,19.33,3,29,12,3,4.47
1019,Especialista        ,Aulista,05/02/2002,17,PROF.  ASSISTENTE II,Regime de Tempo Parcial,16.33,5,127,14,0,3.23
1020,Doutor              ,Aulista,01/03/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,30.42,9,324,23,3,4.28
1021,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,7,2,16,12,0,4.89
1022,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,5.83,2,75,5,0,4.14
1023,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,18.67,3,165,16,0,4.66
1024,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,18.67,3,181,16,0,4.66
1025,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,1,51,8,0,4.67
1026,Doutor              ,Aulista,01/08/2006,12,PROF. ADJUNTO IV,Regime de Tempo Parcial,36.5,6,215,21,12,4.46
1027,Doutor              ,Regime,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,59,8,30.67,4.26
1028,Doutor              ,Aulista,01/02/2012,7,PROF. ADJUNTO IV,Regime de Tempo Integral,40,8,150,22,14.33,2.1
1029,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,24.67,2,69,16,6,4.72
1030,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Horista,21,5,144,26,0,3.22
1031,Mestre              ,Aulista,28/07/2014,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,38.67,5,180,14,22.33,4.7
1032,Especialista        ,Aulista,01/08/2006,12,PROF.  ASSISTENTE II,Regime de Tempo Parcial,37.13,4,81,24,8,4.35
1033,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,26.67,2,46,21,1,4.71
1034,Mestre              ,Aulista,01/08/2007,11,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,35.33,3,44,28,5,4.49
1035,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Horista,25.2,2,67,19,3,4.88
1036,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,32.17,3,85,12,10,4.35
1037,Mestre              ,Regime,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31.33,4,68,18,12.67,4.7
1038,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,7,164,22,14.33,4.61
1039,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,136,18,12,4.21
1040,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,12.83,3,76,11,0,4.47
1041,Especialista        ,Aulista,01/08/2002,16,PROF.  ASSISTENTE II,Regime de Tempo Parcial,40,5,172,24,12,3.58
1042,Doutor              ,Aulista,01/10/2001,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,18,10,28.33,4.8
1043,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,23.33,7,108,20,0,3.19
1044,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,3.5,1,7,3,0,3.92
1045,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Regime de Tempo Parcial,14,4,36,12,0,4.81
1046,Mestre              ,Aulista,01/08/2012,6,PROF.  ASSISTENTE I,Horista,11.67,3,76,10,0,4.72
1047,Mestre              ,Regime,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,7,141,24,12,4
1048,Mestre              ,Aulista,01/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,8,109,22,14.34,4.68
1049,Doutor              ,Aulista,03/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,258,20,16.67,2.66
1050,Doutor              ,Regime,01/03/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,31,4,25.67,4.63
1051,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,6,1,29.5,2.66
1052,Doutor              ,Regime,01/03/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,112,10,28.33,4.08
1053,Mestre              ,Aulista,03/02/2014,5,PROF.  ASSISTENTE I,Regime de Tempo Parcial,40,8,140,30,5,4.72
1054,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,36,5,127,20,12.67,4.23
1055,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,169,16,16.67,4.76
1056,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,28.5,3,125,9,18,3.59
1057,Mestre              ,Aulista,02/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,6,341,51,3.83,4.26
1058,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Horista,7,2,65,6,0,4.62
1059,Doutor              ,Aulista,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,34.33,5,188,18,13.34,4.9
1060,Doutor              ,Aulista,01/03/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,38.83,6,426,38,3.83,4.51
1061,Mestre              ,Aulista,02/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,13.67,3,72,10,2,3.76
1062,Mestre              ,Aulista,01/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,8,154,29,6.17,4.09
1063,Mestre              ,Aulista,01/08/2000,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,38,8,115,24,10,4.41
1064,Especialista        ,Aulista,01/03/2001,18,PROF.  ASSISTENTE II,Horista,22.17,5,213,38,0,3.69
1065,Mestre              ,Regime,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,6,240,23,13.17,4.58
1066,Mestre              ,Aulista,25/02/2016,3,PROF.  ASSISTENTE I,Horista,4.67,2,98,4,0,3.78
1067,Doutor              ,Aulista,01/09/2000,18,PROF. ADJUNTO IV,Horista,21.83,5,205,25,2,4.32
1068,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,122,8,30.67,4.63
1069,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Horista,11.67,3,79,10,0,3.68
1070,Mestre              ,Regime,01/06/2009,9,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24,2,79,12,10,3.86
1071,Mestre              ,Aulista,02/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,212,36,16.67,4.25
1072,Especialista        ,Aulista,01/02/2000,19,PROF.  AUXILIAR III,Horista,21,5,152,42,0,4.2
1073,Mestre              ,Aulista,02/02/2011,8,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,18.33,4,148,14,2,3.43
1074,Doutor              ,Aulista,03/08/2015,3,PROF. ADJUNTO I,Horista,18.67,2,20,16,0,3.82
1075,Doutor              ,Aulista,02/02/2015,4,PROF. ADJUNTO I,Horista,18.67,2,24,16,0,3.86
1076,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,15.17,2,78,13,0,4.64
1077,Mestre              ,Aulista,02/02/2011,8,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,23.33,2,11,20,0,3.98
1078,Mestre              ,Aulista,03/02/2016,3,PROF.  ASSISTENTE I,Horista,10.5,3,48,9,0,4.81
1079,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,14,3,121,20,0,3.2
1080,Doutor              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,6.33,1,32,2,4,3.74
1081,Mestre              ,Aulista,01/02/2012,7,PROF.  ASSISTENTE II,Regime de Tempo Parcial,20,2,135,12,6,4.67
1082,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,18.67,4,121,16,0,4.33
1083,Mestre              ,Aulista,03/08/2009,9,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,92,20,16.67,4.6
1084,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE IV,Horista,23.33,5,140,26,0,4.3
1085,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,1,37,8,0,3.56
1086,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Regime de Tempo Parcial,24.5,5,274,21,0,4.04
1087,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,30.92,7,186,44,5.25,4.43
1088,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,10.5,2,38,9,0,3.74
1089,Doutor              ,Aulista,03/02/2014,5,PROF. ADJUNTO I,Regime de Tempo Parcial,33.67,3,82,14,17.33,4.76
1090,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,211,52,16.66,4.49
1091,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30,5,172,24,2,4.65
1092,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,7,149,25,10.83,4.47
1093,Mestre              ,Aulista,05/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,69,18,19,3.57
1094,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Horista,18.67,3,118,48,0,4.24
1095,Mestre              ,Aulista,01/04/2001,18,PROF.  ASSISTENTE IV,Horista,14,3,97,12,0,3.41
1096,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Horista,9.33,2,56,8,0,4.56
1097,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Horista,18.67,5,110,16,0,4.57
1098,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,35.33,8,276,24,12,3.93
1099,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Horista,34.5,5,269,27,3,4.23
1100,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Horista,7,2,50,6,0,3.56
1101,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31.33,3,227,32,8,4.79
1102,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,3,48,8,0,4.85
1103,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,7,158,18,19,4.63
1104,Doutor              ,Aulista,03/08/2009,9,PROF. ADJUNTO IV,Regime de Tempo Parcial,25.33,6,147,14,9,4.34
1105,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Horista,35.67,4,119,28,3,3.95
1106,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,7,2,64,6,0,3.76
1107,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,11.67,3,51,10,0,4.41
1108,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,146,22,14.33,4.78
1109,Pós-Doutor          ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,146,20,16.67,4.51
1110,Doutor              ,Aulista,04/08/2008,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,8,111,18,19,4.54
1111,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,24.5,4,103,21,0,4.58
1112,Doutor              ,Regime,01/08/2011,7,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,78,8,30.67,4.58
1113,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,14,3,73,12,0,3.88
1114,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,22.17,6,272,35,0,4.42
1115,Pós-Doutor          ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,5,213,22,14.33,4.7
1116,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,28,7,277,28,0,4.72
1117,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Horista,28,7,373,40,0,4.18
1118,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,27,5,92,18,6,4.55
1119,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,145,8,30.67,4.28
1120,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,145,28,19,4.43
1121,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,37.67,4,94,12,26,4.35
1122,Doutor              ,Regime,01/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,6,169,22,17.83,4.67
1123,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,127,12,26,4.77
1124,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Horista,14,3,102,12,0,4.79
1125,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,29.67,6,219,30,4,3.01
1126,Mestre              ,Aulista,01/08/2000,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31,6,137,54,10,3.82
1127,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,13.77,4,71,11,0,4.35
1128,Pós-Doutor          ,Regime,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,112,9,29.5,3.14
1129,Doutor              ,Regime,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,126,15,22.15,4.38
1130,Doutor              ,Aulista,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,5,245,28,7.33,4.75
1131,Mestre              ,Aulista,01/03/2001,18,PROF.  ASSISTENTE IV,Horista,7.48,1,60,6,0,3.66
1132,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,7,317,30,5,4.63
1133,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,6,140,16,11.33,3.06
1134,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,4,364,28,7.33,4.84
1135,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,97,9,29.5,4.6
1136,Mestre              ,Aulista,01/03/2000,19,PROF.  ASSISTENTE IV,Horista,9.33,2,47,8,0,3.82
1137,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,29.17,12,174,37,0,4.73
1138,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Horista,14,3,139,12,0,4.44
1139,Doutor              ,Aulista,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,23.17,8,70,13,8,3.3
1140,Doutor              ,Regime,01/03/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,71,8,23.67,4.9
1141,Mestre              ,Aulista,01/03/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,16.5,3,102,9,6,4.45
1142,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,3,62,24,11.97,4.94
1143,Mestre              ,Aulista,01/03/2000,19,PROF.  ASSISTENTE IV,Horista,11.33,3,86,12,2,3.05
1144,Mestre              ,Aulista,04/08/2008,10,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,262,26,9.67,4.71
1145,Doutor              ,Regime,01/03/2000,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,20,3,183,14,3.67,4.34
1146,Doutor              ,Regime,02/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,30,9,30.67,4.78
1147,Mestre              ,Aulista,01/04/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,157,12,26,4.55
1148,Doutor              ,Aulista,01/04/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,121,10,29.5,3.9
1149,Mestre              ,Aulista,01/04/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30.5,4,290,20,7.17,3.19
1150,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Horista,24.5,5,201,23,0,4.2
1151,Mestre              ,Regime,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30,4,139,14,13.67,3.35
1152,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,23.33,4,92,12,0,4.19
1153,Doutor              ,Aulista,01/04/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,6,148,32,2.67,3.77
1154,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,173,28,16.67,3.62
1155,Doutor              ,Aulista,07/02/2008,11,PROF. ADJUNTO IV,Regime de Tempo Parcial,23,4,146,16,4.33,4.27
1156,Mestre              ,Aulista,01/04/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,37.67,6,443,28,5,4.53
1157,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Horista,35,10,204,48,0,3.66
1158,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,7,2,35,6,0,4.87
1159,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,35.67,5,121,14,19.33,4.17
1160,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,1,58,12,26,4.78
1161,Mestre              ,Aulista,08/02/2007,12,PROF.  ASSISTENTE IV,Horista,14,3,71,12,0,4.18
1162,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,86,8,30.67,3.9
1163,Doutor              ,Regime,01/08/2006,12,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,91,8,30.67,3.94
1164,Especialista        ,Aulista,02/02/2005,14,PROF.  ASSISTENTE II,Regime de Tempo Parcial,14,4,94,12,0,4.34
1165,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Horista,14,3,82,12,0,4.34
1166,Doutor              ,Regime,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,44,9,29.5,4.44
1167,Doutor              ,Regime,02/02/2009,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,123,16,30.67,3.11
1168,Especialista        ,Aulista,25/02/2016,3,PROF.  AUXILIAR I,Horista,4.67,1,22,3,0,4
1169,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,16.33,3,208,14,0,3.85
1170,Doutor              ,Aulista,03/08/2015,3,PROF. ADJUNTO I,Horista,30,7,222,24,2,4.9
1171,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,68,8,0,3.85
1172,Mestre              ,Aulista,02/02/2011,8,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,38.67,7,237,48,6,4.41
1173,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,9.33,2,82,8,0,2.78
1174,Doutor              ,Aulista,01/08/2012,6,PROF. ADJUNTO I,Regime de Tempo Integral,40,3,129,17,24.83,3.41
1175,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,1,30,12,0,4.75
1176,Doutor              ,Aulista,12/02/2016,3,PROF. ADJUNTO I,Regime de Tempo Parcial,14,4,101,12,0,4.69
1177,Doutor              ,Regime,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,55,8,30.67,3.96
1178,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,7,136,24,15.5,4.76
1179,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,32.33,9,192,26,2,4.58
1180,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Horista,14,3,54,12,0,4.31
1181,Mestre              ,Aulista,01/08/2000,18,PROF.  ASSISTENTE IV,Horista,14,3,117,20,0,2.63
1182,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,58,11,26.13,4.8
1183,Mestre              ,Aulista,01/08/2000,18,PROF.  ASSISTENTE IV,Horista,28,4,282,24,0,3.4
1184,Doutor              ,Regime,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,30.33,7,240,21,5.83,4.32
1185,Mestre              ,Regime,01/08/2000,18,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,50,26,9.67,4.8
1186,Doutor              ,Regime,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,194,18,19,4.44
1187,Doutor              ,Aulista,02/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,18.67,4,92,10,7,4.31
1188,Doutor              ,Aulista,06/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,19.17,3,157,15,4,3.12
